20:02:42 [AI Object Patrol] Generating an example config...
21:34:55 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold twp_m16 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2000.
21:34:56 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell twp_otsgrosa x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:34:56 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold twp_otsgrosa x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2100.
21:35:03 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell twp_r700mod x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:35:03 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold twp_r700mod x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 2000.
21:35:33 [VehicleCarKey] Player "Kocur69" (id=iTnQj5Zddd6ul6ie1MZ58a6IghppA2N8HvFffg9SNWw= pos=<4286.841797, 8.045031, 4180.639648>) used the  ExpansionCarKey to lock a Truck_01_Covered
21:35:58 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:35:58 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
21:35:59 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:35:59 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
21:35:59 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:35:59 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
21:36:00 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:36:00 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
21:36:01 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:36:01 [Market] Player "Angel26CZ" (id=7m4g5kj-9ameQQYOn3-ffBnNaSaiVnXK_TVWz7UMVpU=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
